node_id,label
5747,0.0
5707,0.0
6911,0.0
7157,0.0
9185,0.0
5184,0.0
9978,0.0
3935,0.0
8805,0.0
7002,0.0
7771,0.0
10218,0.0
6133,0.0
5540,0.0
8113,0.0
3344,0.0
7763,0.0
7678,0.0
6557,0.0
6298,1.0
11434,0.0
9391,0.0
7027,1.0
5731,0.0
10260,0.0
11675,0.0
4292,0.0
10243,0.0
7989,0.0
4693,0.0
8339,0.0
5124,0.0
3424,0.0
8173,0.0
7659,1.0
11432,0.0
5316,0.0
4103,0.0
11489,0.0
8162,0.0
10391,0.0
4140,0.0
9765,0.0
11079,0.0
10025,0.0
8921,0.0
4151,0.0
6792,0.0
5657,0.0
4954,0.0
3762,0.0
5081,0.0
5445,0.0
9739,0.0
7480,0.0
9826,0.0
3649,0.0
6092,0.0
8253,0.0
4848,0.0
4235,0.0
11098,0.0
11345,0.0
11417,0.0
4361,0.0
5491,0.0
4583,0.0
11270,0.0
7596,0.0
5851,0.0
5574,0.0
8537,0.0
11646,0.0
5699,0.0
6165,0.0
11811,0.0
6775,0.0
10051,0.0
11682,0.0
11130,0.0
11857,0.0
3613,1.0
5783,0.0
7827,0.0
4706,0.0
4845,0.0
4947,0.0
10048,0.0
6927,0.0
5802,0.0
4139,0.0
5928,0.0
9666,0.0
6825,0.0
8247,0.0
4154,0.0
5064,0.0
10001,0.0
11215,0.0
9719,0.0
8729,0.0
10529,0.0
7550,0.0
9953,0.0
6543,0.0
7636,0.0
5597,0.0
9424,0.0
8352,0.0
8467,1.0
11863,0.0
5926,0.0
10693,0.0
7501,1.0
6424,0.0
9353,0.0
8459,0.0
3892,0.0
7108,0.0
3643,0.0
4458,0.0
4959,0.0
9559,0.0
7695,1.0
6558,0.0
4141,0.0
10533,0.0
6872,0.0
10698,0.0
9436,0.0
8997,0.0
11900,0.0
6682,0.0
4389,0.0
7715,0.0
6929,0.0
9876,0.0
11798,0.0
6802,0.0
8523,0.0
9617,0.0
7330,0.0
10348,1.0
3687,0.0
3398,0.0
8902,0.0
8971,1.0
5652,0.0
9508,0.0
3464,0.0
11224,0.0
5207,1.0
9986,0.0
8059,0.0
5301,0.0
9135,0.0
11738,1.0
7762,0.0
11776,1.0
5485,0.0
7311,0.0
6333,0.0
11759,0.0
11865,0.0
10464,0.0
11405,0.0
3648,0.0
8248,0.0
4451,0.0
3949,0.0
8043,0.0
6204,0.0
8263,0.0
6668,0.0
5401,0.0
7649,0.0
11391,0.0
7690,0.0
10325,0.0
8309,0.0
6407,0.0
11108,0.0
5294,0.0
9433,0.0
5807,0.0
3545,0.0
7344,0.0
6012,0.0
3790,0.0
4925,0.0
9367,0.0
10427,0.0
3577,0.0
5866,0.0
6886,0.0
4296,0.0
9521,0.0
10329,0.0
8950,0.0
7106,0.0
8442,0.0
9652,0.0
9803,0.0
9384,0.0
10858,0.0
5145,0.0
9326,0.0
4533,0.0
3773,0.0
11082,0.0
8522,0.0
5921,0.0
7925,0.0
10754,0.0
5462,0.0
10288,0.0
11238,1.0
